Full_Name,x0,y0,z0,xDot0,yDot0,zDot0,T,Stability_Index,Bifercates_to,lStar_km,tStar_days,mu,System,LagrangePoint,Family,Modifier,JacobiValue,Closest_Primary_Approach,Closest_Secondary_Approach
L2 - Northern Halo,1.1234,0,0.1837,0,-0.225146915826509,0,2.9374,26.0252,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.03531269671373,1.01061517540393,1.01061517540393
L2 - Northern Halo,1.1114,0,0.1934,0,-0.221864632008746,0,2.7903,12.8967,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.02483161018265,0.99892585703531,0.99892585703531
L2 - Northern Halo,1.0994,0,0.1993,0,-0.215249743665173,0,2.6259,5.7514,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.01827427178519,0.989774009889446,0.989774009889446
L2 - Northern Halo,1.0874,0,0.202,0,-0.205440148075237,0,2.4499,1.904,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.01539234686284,0.983228700400135,0.983228700400135
L2 - Northern Halo,1.0754,0,0.2022,0,-0.192583279036437,0,2.2689,1,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.01572911072582,0.979002143542164,0.979002143542164
L2 - Northern Halo,1.0634,0,0.2003,0,-0.177089584827345,0,2.0883,1.2995,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.01884623666349,0.976547438145172,0.976547438145172
L2 - Northern Halo,1.0514,0,0.1968,0,-0.158941156604404,0,1.9123,1.654,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.02432211732804,0.975391360923686,0.975391360923686
L2 - Northern Halo,1.0394,0,0.1919,0,-0.1381617227872,0,1.7434,1.6636,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.03188008682589,0.97505878187965,0.97505878187965
L2 - Northern Halo,1.0274,0,0.1856,0,-0.114662898256719,0,1.5818,1.4595,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.04140735246504,0.975162209897943,0.975162209897943
L2 - Northern Halo,1.0118,0,0.1739,0,-0.0799,0,1.3743,1,L2-Butterflies,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.05803884757296,0.975476056562421,0.975476056562421
